id,name,WoWCombatLog-090226_172412.txt,WoWCombatLog-080126_225759.txt,WoWCombatLog-090726_185257.txt,WoWCombatLog-091426_172259.txt,WoWCombatLog-092026_142939.txt,WoWCombatLog-090626_142343.txt,WoWCombatLog-090926_174710.txt,WoWCombatLog-091626_172855.txt
53822,"Death Gate",7,0,3,17,4,4,1,1
54149,"Infusion of Light",498,3,828,792,706,786,208,491
54844,"X-Ray Specs",2,0,0,0,0,0,0,0
54861,"Nitro Boosts",3,0,0,0,0,1,0,0
55233,"Vampiric Blood",0,0,34,72,60,55,0,1
55342,"Mirror Image",56,0,14,15,27,15,82,70
56814,"Detection",0,0,2,0,0,0,0,0
57363,"Well Fed",0,0,0,0,0,3,0,0
57934,"Tricks of the Trade",0,0,0,76,42,0,0,0
58448,"Strength",0,2,0,0,0,0,0,0
58452,"Armor",1,2,0,0,0,0,0,0
58493,"Mohawked!",0,0,0,2,5,0,2,1
58501,"Iron Boot Flask",0,0,0,0,0,2,0,0
58875,"Spirit Walk",19,0,0,2,1,10,71,0
58984,"Shadowmeld",2,2,8,13,5,6,4,6
59052,"Rime",0,53,0,158,0,0,0,0
59547,"Gift of the Naaru",57,0,0,0,0,0,54,61
59628,"Tricks of the Trade",49,2,7,46,27,23,4,2
59752,"Will to Survive",1,1,7,8,4,3,1,0
61295,"Riptide",2628,7,5,139,193,314,2521,2916
61336,"Survival Instincts",21,1,0,0,0,0,24,23
61781,"Turkey Feathers",2,0,0,0,1,0,2,0
62061,"Festive Holiday Mount",0,0,0,0,0,1,0,0
62173,"Bullseye!",0,0,0,0,0,1,0,0
62574,"Warts-B-Gone Lip Balm",0,0,6,0,0,1,0,0
64800,"Wrathstone",0,0,0,0,46,0,0,0
64843,"Divine Hymn",1,0,18,39,37,29,16,0
64844,"Divine Hymn",5,0,431,977,806,664,78,0
65006,"Eye of the Broodmother",12,0,0,2,1,2,2,1
65008,"Energy Siphon",0,0,0,43,42,0,21,52
65019,"Mjolnir Runestone",0,0,89,0,0,116,0,0
65081,"Body and Soul",1341,19,2801,3510,3839,3330,1305,169
65116,"Stoneform",17,0,13,14,14,22,35,18
66052,"Fresh Brewfest Hops",0,0,0,0,1,0,0,0
66906,"Argent Charger",3,0,0,0,0,0,1,0
67713,"Mote of Flame",1,0,1,0,2,1,0,0
68413,"Spongy!",0,0,0,0,0,0,0,1
68992,"Darkflight",1,1,0,1,0,1,1,0
69369,"Predatory Swiftness",165,0,0,0,0,0,144,147
72968,"Precious's Ribbon",502,12,110,179,137,431,130,193
73325,"Leap of Faith",22,0,3,16,18,19,43,18
73326,"Tabard of the Lightbringer",2,0,0,0,0,2,0,0
73685,"Unleash Life",221,0,3,1,0,43,155,6
74589,"Identity Crisis",1,0,0,0,0,0,0,0
75531,"Gnomeregan Pride",0,0,0,0,0,0,0,3
77489,"Echo of Light",278,10,6860,10023,8920,8431,1163,23
77535,"Blood Shield",3,4,343,437,323,502,0,6
77761,"Stampeding Roar",4,0,1,0,0,1,1,41
77762,"Lava Surge",111,30,1251,1506,1058,1610,658,989
77764,"Stampeding Roar",576,0,0,0,0,1,482,442
79206,"Spiritwalker's Grace",17,0,124,115,99,139,81,107
80353,"Time Warp",423,0,154,142,332,119,539,231
80610,"Water Gliding",0,0,1,0,0,0,0,0
81141,"Crimson Scourge",0,9,237,277,229,263,0,13
81256,"Dancing Rune Weapon",0,11,284,341,276,291,0,12
81340,"Sudden Doom",1045,136,730,738,675,957,1927,1484
81700,"Archangel",33,0,66,60,52,56,21,1
81782,"Power Word: Barrier",0,0,103,0,66,11,0,0
85416,"Grand Crusader",272,6,11,0,118,135,678,268
85739,"Whirlwind",0,19,95,0,2,80,0,0
86659,"Guardian of Ancient Kings",29,0,1,0,8,12,129,57
87840,"Running Wild",0,0,0,1,0,1,0,0
90361,"Spirit Mend",0,0,48,8,0,11,30,10
93622,"Gore",0,14,0,0,0,0,0,0
95987,"Unburdened",0,0,0,1,0,0,0,0
95988,"Reverence for the Flame",5,0,8,2,0,0,0,1
96312,"Kalytha's Haunted Locket",10,0,1,7,4,6,2,4
96890,"Electrical Charge",0,0,0,3,5,0,0,449
97034,"Draenei Male Mask",0,0,2,0,0,0,0,0
97463,"Rallying Cry",619,1,901,1039,294,1048,379,222
98414,"Severed Azurefin Head",0,0,0,0,0,2,1,0
98444,"Vrykul Drinking Horn",0,0,0,0,0,0,3,1
101185,"Leyara's Locket",0,0,0,0,0,0,0,1
101186,"Leyara's Locket",1,0,0,0,1,0,0,0
101568,"Dark Succor",29,0,11,13,2,37,93,23
101643,"Transcendence",7,4,0,2,1,1,0,0
102342,"Ironbark",6,0,0,28,20,0,0,0
102401,"Wild Charge",0,0,0,15,23,1,1,0
102416,"Wild Charge",0,0,0,2,0,0,0,0
102543,"Incarnation: Avatar of Ashamane",0,0,0,0,1,0,10,20
102547,"Prowl",0,0,0,0,0,0,0,2
102560,"Incarnation: Chosen of Elune",76,0,64,57,33,67,117,165
104773,"Unending Resolve",59,1,34,31,38,25,37,36
105681,"Mantid Elixir",4,0,0,0,0,0,0,0
106898,"Stampeding Roar",322,1,62,663,299,135,322,394
106951,"Berserk",52,0,0,0,0,0,43,42
107574,"Avatar",362,14,201,253,85,287,205,223
108211,"Leeching Poison",368,60,140,203,132,317,72,113
108271,"Astral Shift",54,2,39,66,69,58,145,96
108280,"Healing Tide Totem",1,0,0,9,3,19,0,0
108366,"Soul Leech",16101,104,9038,9917,11250,9612,10365,12803
108370,"Soul Leech",875,0,305,398,356,698,249,233
108416,"Dark Pact",134,4,123,113,138,108,94,117
108446,"Soul Link",1124,139,436,579,621,929,409,410
108843,"Blazing Speed",0,0,0,0,0,1,0,0
110645,"Well Fed",0,0,0,0,0,0,3,0
110960,"Greater Invisibility",18,2,4,1,2,5,11,4
111400,"Burning Rush",127,7,150,175,288,181,53,88
111685,"Summon Infernal",78,8,0,0,0,4,68,73
111759,"Levitate",21,1,1,12,24,53,5,5
112942,"Shadow Focus",6,10,235,331,103,246,0,0
113656,"Fists of Fury",0,0,414,372,477,460,0,0
114018,"Shroud of Concealment",0,0,2,69,44,12,0,0
114051,"Ascendance",18,1,0,1,1,0,53,0
114052,"Ascendance",330,0,0,21,27,36,302,344
114108,"Soul of the Forest",1,5,2,541,469,4,0,12
114214,"Angelic Bulwark",2,0,17,27,28,15,18,8
114255,"Surge of Light",148,2,436,424,470,489,234,11
114282,"Treant Form",2,0,0,1,2,1,0,0
115175,"Soothing Mist",4,4,0,0,0,1,0,3
115191,"Stealth",1,18,1,0,0,2,0,1
115192,"Subterfuge",1,17,2,0,0,1,0,0
115294,"Mana Tea",1,0,0,0,0,0,0,0
115834,"Shroud of Concealment",0,0,71,2726,1690,365,0,0
115867,"Mana Tea",12,7,1,0,2,5,0,6
116680,"Thunder Focus Tea",3,3,0,0,0,2,1,0
116768,"Blackout Kick!",0,0,327,288,337,322,0,0
116841,"Tiger's Lust",3,1,55,60,75,67,1,1
116849,"Life Cocoon",1,0,0,0,0,0,0,0
117679,"Incarnation",0,0,0,49,121,0,0,2
117828,"Backdraft",712,70,0,0,0,38,690,752
118038,"Die by the Sword",49,0,16,38,23,26,25,22
118323,"Primal Earth Elemental",0,1,13,27,17,10,6,1
118522,"Elemental Blast: Critical Strike",0,9,581,660,414,659,271,407
118922,"Posthaste",54,5,115,169,184,145,70,81
119085,"Chi Torpedo",5,3,2,2,2,14,1,1
119415,"Blink",7,0,0,4,0,5,0,1
119611,"Renewing Mist",17,18,1,1,3,6,2,12
120517,"Halo",25,0,0,0,0,0,0,0
120644,"Halo",238,15,984,964,1002,980,258,0
120954,"Fortifying Brew",1,0,11,29,36,15,0,0
121471,"Shadow Blades",0,2,39,56,15,44,0,0
121557,"Angelic Feather",184,4,287,374,392,371,192,20
122470,"Touch of Karma",0,0,13,15,13,15,0,0
124036,"Anglers Fishing Raft",0,0,0,2,0,0,0,0
124219,"Well Fed",0,0,0,0,0,3,0,7
124682,"Enveloping Mist",3,3,0,0,0,3,0,3
125174,"Touch of Karma",0,0,13,15,13,15,0,0
125883,"Zen Flight",2,0,0,2,2,5,0,0
127230,"Visions of Insanity",4,0,2,2,6,3,14,3
128275,"Cremate",0,0,0,0,0,0,1,2
129914,"Combat Wisdom",274,11,461,527,467,591,75,82
131476,"Fishing",71,0,132,163,18,153,7,44
131493,"B.F.F.",25,2,0,7,1,6,16,19
132158,"Nature's Swiftness",9,5,0,48,54,9,0,1
132403,"Shield of the Righteous",77,1,14,0,29,37,147,88
132404,"Shield Block",371,0,0,0,0,0,78,110
132413,"Shadow Bulwark",0,0,0,1,0,0,0,0
135700,"Clearcasting",727,0,0,0,1,0,752,826
138927,"Burning Essence",3,0,0,0,0,0,0,0
143625,"Brawling Champion",100,10,37,24,25,44,20,34
144787,"Moonfang Shroud",1,0,0,0,0,0,0,0
145205,"Efflorescence",0,0,0,0,4,0,0,0
145255,"Aspect of Moonfang",0,0,0,0,0,0,1,0
145629,"Anti-Magic Zone",141,0,641,649,502,592,312,314
147728,"Severed Crimsonscale Head",1,0,0,0,0,3,1,0
147833,"Intervene",0,0,0,0,0,0,1,0
148540,"Snow Storm",2,0,0,0,5,1,0,0
148542,"Ash Storm",2,0,0,0,0,0,0,0
152175,"Whirling Dragon Punch",0,0,156,145,189,169,0,0
154796,"Touch of Elune - Day",53,4,8,534,418,1291,6,29
154797,"Touch of Elune - Night",2199,229,733,725,447,490,606,650
155777,"Rejuvenation (Germination)",1,0,1,553,591,4,0,5
155853,"Frogskin Diving Cap",10,0,0,0,0,0,0,0
156064,"Greater Draenic Agility Flask",0,0,0,0,0,1,0,0
156070,"Draenic Intellect Flask",1,0,0,0,0,0,0,0
156071,"Draenic Strength Flask",0,0,0,0,0,4,0,0
156322,"Eternal Flame",275,7,2204,1945,1628,2058,280,538
156779,"Neural Silencer",6,0,0,0,0,2,0,0
156910,"Beacon of Faith",0,1,0,0,0,1,5,3
157128,"Saved by the Light",8535,0,20354,18981,19157,18095,2091,9594
157228,"Owlkin Frenzy",18,0,18,14,9,9,18,53
158486,"Safari Hat",0,0,0,0,0,3,3,0
160331,"Blood Elf Illusion",0,1,0,2,0,0,1,0
162264,"Metamorphosis",2,18,0,53,0,7,0,0
162906,"Enchanted Dust",0,0,0,0,0,2,0,0
162997,"Nightmarish Reins",0,0,0,1,0,0,0,0
163073,"Demon Soul",0,0,0,14,0,0,0,0
164862,"Flap",2,0,0,0,0,3,0,7
165961,"Travel Form",50,12,11,47,10,56,8,17
166353,"Soulstealer",0,0,0,0,0,1,0,0
166592,"Vindicator's Armor Polish Kit",0,0,0,0,0,0,1,0
167898,"Find Garrison Timber",168,6,95,102,78,261,52,94
168657,"Bubble Wand",0,0,0,0,0,1,1,0
171761,"Brewfest Banner",0,0,0,0,1,0,0,0
171804,"Positive",0,0,0,0,0,1,0,0
173183,"Elemental Blast: Haste",0,8,575,647,425,645,284,409
173184,"Elemental Blast: Mastery",0,10,577,674,411,671,277,425
173958,"Pirate Costume",0,0,0,0,0,0,0,5
173959,"Pirate Costume",1,0,0,3,0,0,0,0
175844,"Greater Water Breathing",0,0,0,0,0,1,0,0
176151,"Whispers of Insanity",20,0,8,1,4,7,2,2
176458,"Song of the Anvil",1,0,0,0,1,4,1,0
176644,"Solace of the Forge",1,0,0,0,1,4,1,0
176785,"Soulsaver",3,0,0,0,0,0,0,0
180612,"Recently Used Death Strike",27,0,952,1046,907,984,64,76
180748,"Well Fed",0,0,0,0,0,2,0,0
182104,"Shining Light",557,19,23,0,140,142,1039,549
182422,"Training Gear",0,25,0,0,0,0,0,0
183585,"Power Word: Fortitude",0,0,1,0,0,0,0,0
184362,"Enrage",12,77,736,0,141,275,0,0
184364,"Enraged Regeneration",0,2,0,0,2,1,0,0
184662,"Shield of Vengeance",0,0,0,45,57,0,52,4
185311,"Crimson Vial",3,1,17,61,93,14,1,0
185394,"Inky Blackness",30,0,0,10,30,17,7,2
185422,"Shadow Dance",0,2,196,283,84,195,0,0
185477,"Deftness Draught",1,0,0,0,0,0,0,0
185562,"Darkmoon Firewater",9,1,7,8,4,2,0,0
186257,"Aspect of the Cheetah",32,1,49,53,53,59,41,75
186258,"Aspect of the Cheetah",37,2,50,56,53,64,41,79
186265,"Aspect of the Turtle",4,0,16,18,26,20,8,14
186289,"Aspect of the Eagle",1,0,0,0,0,0,0,0
186401,"Sign of the Skirmisher",0,988,0,0,0,0,0,0
187174,"Jewel of Hellfire",0,0,0,0,0,0,1,0
187827,"Metamorphosis",0,0,110,122,126,113,0,0
187878,"Crash Lightning",0,5,0,0,0,0,0,0
188290,"Death and Decay",760,243,1604,1567,1168,1697,924,903
188370,"Consecration",179,5,19,0,79,71,342,192
188499,"Blade Dance",0,20,0,40,0,3,0,0
188501,"Spectral Sight",0,0,0,0,0,1,0,2
189363,"Burning Blade",0,0,0,0,0,0,1,0
190319,"Combustion",1,0,0,0,0,14,0,0
190446,"Brain Freeze",1,144,0,6,5,2,0,0
190456,"Ignore Pain",378,0,0,0,6,0,326,309
191034,"Starfall",107,1,138,151,108,136,222,392
191634,"Stormkeeper",0,14,328,383,263,390,155,235
191877,"Power of the Maelstrom",0,5,427,262,148,351,138,135
192081,"Ironfur",0,4,0,0,0,0,0,0
192082,"Wind Rush",212,0,697,875,520,490,403,348
192106,"Lightning Shield",408,45,254,309,256,465,205,208
192225,"Coin of Many Faces",25,0,6,1,7,11,10,7
193065,"Protective Light",133,4,282,276,315,264,229,10
193287,"Visage of the Vrykul",0,0,0,0,0,0,0,1
193333,"Helheim Spirit Memory",0,0,0,0,0,1,0,4
193456,"Gaze of the Legion",1,0,0,1,0,0,0,0
193472,"Mercenary Contract",2,9,4,1,1,1,0,0
193475,"Mercenary Contract",0,5,0,0,0,0,0,0
193753,"Dreamwalk",2,0,0,0,1,0,0,0
194223,"Celestial Alignment",0,0,0,0,0,0,1,0
194249,"Voidform",29,7,106,99,104,111,65,51
194384,"Atonement",2663,16,3015,3163,3042,3328,1806,192
194594,"Lock and Load",196,0,57,136,174,141,109,167
194879,"Icy Talons",142,51,169,201,137,189,225,158
195181,"Bone Shield",4,5,37,57,55,46,0,5
195630,"Elusive Brawler",0,47,0,0,0,866,0,0
195949,"Path of Elothir",3,0,0,0,1,0,2,0
196099,"Grimoire of Sacrifice",14,0,5,2,2,10,1,0
196741,"Hit Combo",4,0,68,56,53,46,0,0
196742,"Whirling Dragon Punch",0,0,630,543,583,692,0,0
196911,"Shadow Techniques",0,31,524,489,108,470,1,7
196980,"Master of Shadows",5,7,228,326,100,239,0,0
197548,"Strength of Soul",1,3,0,0,0,0,0,0
197871,"Dark Archangel",2,0,0,0,0,2,0,0
197874,"Dark Archangel",9,0,0,0,0,2,0,0
198013,"Eye Beam",0,28,0,86,0,10,0,0
198034,"Divine Hammer",103,10,3,0,25,26,262,105
198069,"Power of the Dark Side",306,2,362,369,359,365,224,24
198103,"Earth Elemental",11,18,15,35,20,24,12,1
198300,"Converging Storms",188,20,0,0,0,6,641,0
198533,"Soothing Mist",0,0,0,0,0,1,0,0
198817,"Sharpen Blade",3,9,3,1,0,1,1,0
199483,"Camouflage",0,0,0,0,2,1,2,0
199545,"Steed of Glory",0,0,0,0,0,2,0,0
199736,"Find Treasure",8,0,3,0,13,8,3,10
199854,"Tactician",1515,52,1492,1910,542,2027,775,751
200025,"Beacon of Virtue",1586,0,3197,2534,2352,2863,318,1382
200183,"Apotheosis",1,0,23,38,38,22,17,0
201334,"Well Fed",2,0,0,0,0,0,0,0
201671,"Gory Fur",5,0,8,6,0,6,3,7
201846,"Stormsurge",279,40,0,0,0,9,806,0
202090,"Teachings of the Monastery",3,1,617,424,492,514,0,0
202147,"Second Wind",720,37,304,296,171,446,199,191
202164,"Bounding Stride",181,6,113,121,70,191,114,115
202602,"Into the Fray",991,10,216,292,100,295,112,145
202636,"Leader of the Pack",1,0,0,0,0,0,0,0
202748,"Survival Tactics",0,1,0,0,0,0,0,1
202770,"Fury of Elune",126,2,137,161,70,157,229,333
203812,"Honorable Pennant",0,0,0,0,4,0,2,0
203814,"Honorable Pennant",1,0,0,0,1,0,0,0
203819,"Demon Spikes",2,0,156,177,210,169,0,1
203846,"Prestigious Pennant",1,3,0,0,3,0,0,0
203847,"Elite Pennant",16,0,0,0,0,0,0,0
203848,"Esteemed Pennant",0,0,0,0,1,0,0,0
203850,"Elite Pennant",0,0,0,0,0,2,3,2
203852,"Esteemed Pennant",0,0,0,0,0,1,0,0
203981,"Soul Fragments",0,0,803,799,885,828,0,0
204018,"Blessing of Spellwarding",0,0,0,0,0,1,0,0
204066,"Lunar Beam",0,1,0,0,0,0,0,0
204090,"Bullseye",125,0,36,72,106,62,61,86
204362,"Heroism",0,2,0,0,0,0,0,0
205025,"Presence of Mind",0,0,0,0,2,0,0,0
205180,"Summon Darkglare",21,1,0,0,0,3,0,0
205473,"Icicles",1,83,1,9,6,3,0,0
206572,"Dragon Charge",1,0,0,0,0,0,0,0
207203,"Frost Shield",2601,24,4432,5117,4343,4801,4057,3703
207400,"Ancestral Vigor",105,5,7,240,259,415,6,9
207640,"Abundance",0,0,1,107,6,0,0,0
207771,"Fiery Brand",0,0,95,103,111,96,0,0
208086,"Colossus Smash",321,12,369,463,137,515,175,169
208628,"Exergy",9,12,0,24,0,4,0,2
208963,"Totem of Wrath",0,5,0,0,0,0,0,0
209388,"Bulwark of Order",834,8,30,0,251,276,1474,829
209584,"Zen Focus Tea",0,0,0,0,0,0,1,0
209746,"Moonkin Aura",1,0,0,0,0,0,0,0
210053,"Mount Form",9,0,0,2,0,2,5,0
210065,"Track Beasts",0,0,0,0,1,0,0,0
210126,"Arcane Familiar",42,6,2,13,16,32,50,38
210391,"Darkest before the Dawn",4,1,0,5,1,6,1,0
211336,"Archbishop Benedictus' Restitution",1,0,1,21,18,8,3,0
211805,"Gathering Storm",0,11,0,33,0,0,0,0
212084,"Fel Devastation",0,0,60,82,87,60,0,0
212552,"Wraith Walk",18,1,0,4,0,1,8,11
212653,"Shimmer",219,0,19,27,32,84,113,22
212800,"Blur",21,1,14,49,55,57,46,30
212988,"Painbringer",0,0,44,1,12,17,0,0
213708,"Galactic Guardian",1,12,0,0,0,0,0,0
214814,"Sparklepony XL",1,0,0,0,0,0,0,0
215479,"Shuffle",0,7,0,0,0,6,0,0
215598,"Holy Enchantment",0,0,0,0,1,0,0,0
215769,"Spirit of Redemption",0,1,0,0,0,0,0,0
215785,"Hot Hand",0,6,0,0,0,0,0,0
216331,"Avenging Crusader",0,0,1,0,0,0,0,0
216441,"Surface Tension",7,0,0,1,0,0,0,0
216526,"Synthebrew Goggles XL",0,0,0,0,1,0,0,0
216528,"Waterspeaker's Blessing",0,0,0,0,0,2,0,0
217504,"Mannoroth's Blood Red Ale",0,0,0,0,1,0,0,0
219788,"Ossuary",4,6,42,68,69,67,0,4
221341,"Pepe",0,0,0,1,0,0,0,0
221883,"Divine Steed",31,4,11,14,15,21,104,5
221885,"Divine Steed",4,0,1,0,0,3,9,0
221886,"Divine Steed",115,0,64,79,75,73,109,109
